,name,longitude,latitude
291,Laajasalon ostoskeskus,25.05188370479307,60.18009213610057
292,Kasarmitori,24.94947287873,60.1650171805
293,Elimäenkatu,24.9476186,60.1962627
294,Humalniementie,25.053037859101934,60.18374384938291
295,Unioninkatu,24.9510227,60.1674573
296,Hollolantie,24.95453389981,60.19588479865
297,Tammisalon aukio,25.06118417092495,60.19164687919301
298,Kanavaranta,24.9583814,60.168384
299,Paavalinpuisto,24.9614385,60.1974886
300,Agnetankuja,25.036412289626025,60.187234122757424
301,Merisotilaantori,24.9755341,60.1678703
302,Haukilahdenkatu,24.9676708,60.1985314
303,Laivalahden puistotie,25.031385306773423,60.18795810306132
304,Senaatintori,24.9526414,60.1691278
305,Velodrominrinne,24.9440506,60.2010614
306,Herttoniemenranta,25.026065710136564,60.190210145879014
307,Ritarikatu,24.95555819284,60.17110664588
308,Sofianlehdonkatu,24.9513636,60.2032721
309,Margareetankuja,25.037070035460086,60.19100958139025
310,Liisanpuistikko,24.9613747,60.1741822
311,Arabian kauppakeskus,24.9666128,60.2027912
312,Abraham Wetterin tie,25.042580274921047,60.19270789626325
313,Varsapuistikko,24.9495192737191,60.1731029004969
314,Arabiankatu,24.977079011778606,60.20649156514502
315,Petter Wetterin tie,25.031111942585127,60.19313762536413
316,Porthania,24.9481463998,60.16986222858
317,Muotoilijankatu,24.979682,60.209796
318,Rautatientori / itä,24.9425268,60.1708236
319,Herttoniemi (M),25.02887208274608,60.194614624348006
320,Verkatehtaanpuisto,24.9797283,60.2137007
321,Asentajanpuisto,25.042592465753465,60.19912713758262
322,Kaisaniemenpuisto,24.943301000681707,60.17319894172505
323,Intiankatu,24.9676383,60.2078582
324,Siilitie (M),25.04516115672629,60.20596244959136
325,Töölönlahdenkatu,24.93930791,60.17219068
326,Koskelantie,24.9465139,60.208749
327,Herttoniemen kirkko,25.032112127941765,60.19844295116548
328,Rautatientori / länsi,24.9397601,60.1706061
329,Kuikkarinne,24.86930605276,60.15708560052
330,Eränkävijäntori,25.033597412211737,60.204561663649095
331,Kiasma,24.9374279,60.1712579
332,Käpyläntie,24.9588108,60.2139043
333,Siilitie 9,25.037482215660486,60.20947670530612
334,Mannerheimintie,24.9394195,60.1690724
335,Pohjolankatu,24.9437964,60.213421
336,Siilitie 13,25.04379377901174,60.215063371665806
337,Narinkka,24.93460698,60.1700420359
338,Pohjolanaukio,24.9544112,60.2172043
339,Roihupelto,25.055528,60.209287
340,Kamppi (M),24.9305373,60.1686095
341,Käpylän asema,24.9479290250383,60.2208057097763
342,Porolahden koulu,25.053580944057305,60.19553971683871
343,Eerikinkatu,24.9357851,60.1673332
344,Juhana Herttuan tie,24.9664619,60.2184427
345,Peukaloisentie,25.05854933123242,60.1987054995554
346,Lastenlehto,24.927021,60.1658121
347,Toinen linja,24.9441949,60.183164
348,Baana,24.9225658,60.164088
349,Tulisuontie,25.060046596074795,60.202072986712835
350,Töölönlahden puisto,24.935186,60.174646
351,Prinsessantie,25.060092333540833,60.206340232662725
352,Itämerentori,24.9145165,60.1635309
353,Marjaniementie,25.07606935994523,60.20432489166999
354,Marian sairaala,24.9220763,60.1680998
355,Eläinmuseo,24.9318975121428,60.1713589074265
356,Voikukantie,25.086782105520793,60.20899759942336
357,Kauppakorkeakoulu,24.924961,60.1711591
358,Itäkeskus (M),25.07596801515546,60.20960066552812
359,Kansallismuseo,24.9329875,60.1739641
360,Puotinharju,25.08232209439382,60.21249416558419
361,Cygnaeuksenkatu,24.92822758053,60.174063715
362,Marjaniemi,25.086296156701028,60.20360955659899
363,Apollonkatu,24.9223942,60.1760798
364,Puotilantie,25.100426060233303,60.209059633662385
365,Töölönkatu,24.9283272,60.1775598
366,Puotinkylän kartano,25.10619874297898,60.21250990784526
367,Töölöntori,24.9249114,60.1791231
368,Ooppera,24.926687,60.1825529
369,Puotilan ostoskeskus,25.095559512793297,60.21270057142605
370,Puotila (M),25.09112452769074,60.21482071331432
371,Hakaniemi (M),24.95218124892,60.17810631604
372,Eteläesplanadi,24.94746581951,60.16723083051
373,Karhulantie,25.10232484990167,60.218601478441435
374,Ympyrätalo,24.9494,60.180863
375,Leppäsuonaukio,24.92659049777,60.16957343209
376,Alakiventie,25.077470244052627,60.21985096601641
377,Haapaniemenkatu,24.9551952848703,60.1831601181109
378,Lehtisaarentie,24.8504396679317,60.1818132200983
379,Myllypuro (M),25.075395792228694,60.22408646778726
380,Karhupuisto,24.9526763,60.1842833
381,Orpaanporras,25.0654218381558,60.22356519670723
382,Sörnäinen (M),24.96098,60.187736
383,Mamsellimyllynkatu,25.05910387617357,60.21825196984328
384,Brahen kenttä,24.9509168,60.1868618
385,Diakoniapuisto,24.943358,60.186979
386,Vanha Kauppahalli,24.953535,60.165343
387,Mastokatu,24.9674861,60.1647545
388,Annankatu,24.94177084206,60.16345894291
389,Vallilan varikko,24.962832,60.195225
390,Itäkeskus Metrovarikko,25.065816,60.211446
391,Melkonkuja,24.8861094,60.1498127
392,Koskelan varikko,24.969956,60.212701
393,Itälahdenkatu,24.8812502,60.15066
394,Korkeasaari,24.9825269338027,60.1799061407845
395,Heikkilänaukio,24.8793159,60.1540763
396,Postipuisto,24.933737,60.220301
397,Heikkiläntie,24.8850653,60.156817
398,Gyldenintie,24.8766658,60.1583842
399,Puistokaari,24.86202,60.157875
400,Luoteisväylä,24.8601992,60.1654485
401,Lauttasaaren ostoskeskus,24.8815441,60.1603306
402,Lauttasaarensilta,24.8899154000946,60.1611858260783
403,Salmisaarenranta,24.90096080349,60.16478138043
404,Kaapelitehdas,24.9065572669725,60.1618133723859
405,Länsisatamankatu,24.909692,60.1589276
406,Välimerenkatu,24.916241,60.159296
407,Jätkäsaarenlaituri,24.9214896,60.1619311
408,Tyynenmerenkatu,24.920661,60.156838
409,Hernesaarenranta,24.93125406706023,60.15352968178976
410,Ehrenströmintie,24.9591271,60.155309
411,Perämiehenkatu,24.9340656851357,60.1600875931318
412,Albertinkatu,24.9368179,60.1618359
413,Kalevankatu,24.931422,60.16568
414,Sammonpuistikko,24.9224112,60.1731473
415,Hietaniemenkatu,24.907670424697,60.1733331557525
416,Eteläinen Hesperiankatu,24.915662751685453,60.17558787407832
417,Kesäkatu,24.9132504,60.1792967
